,Region,Country,City,Month,AvgTemperature_C
327,Africa,Uganda,Kampala,4,22.918638020706265
328,Africa,Uganda,Kampala,5,22.64506286094238
329,Africa,Uganda,Kampala,6,22.23767378756509
330,Africa,Uganda,Kampala,7,21.84050096826987
331,Africa,Uganda,Kampala,8,21.865567028418887
332,Africa,Uganda,Kampala,9,22.20528239424501
333,Africa,Uganda,Kampala,10,22.307161662035433
334,Africa,Uganda,Kampala,11,22.304907743117123
335,Africa,Uganda,Kampala,12,22.471228110474808
336,Africa,Zambia,Lusaka,1,21.687615783123913
337,Africa,Zambia,Lusaka,2,21.823112488088597
338,Africa,Zambia,Lusaka,3,21.480119710117588
339,Africa,Zambia,Lusaka,4,20.65042191421728
340,Africa,Zambia,Lusaka,5,19.03202410939852
341,Africa,Zambia,Lusaka,6,17.193955920574858
342,Africa,Zambia,Lusaka,7,16.83922243675814
343,Africa,Zambia,Lusaka,8,19.935037267909742
344,Africa,Zambia,Lusaka,9,23.480580097211078
345,Africa,Zambia,Lusaka,10,25.818355967489172
346,Africa,Zambia,Lusaka,11,24.524665598045583
347,Africa,Zambia,Lusaka,12,21.95772644481927
348,Asia,Bangladesh,Dhaka,1,18.34910187383306
349,Asia,Bangladesh,Dhaka,2,22.17577131255292
350,Asia,Bangladesh,Dhaka,3,26.72644147469416
351,Asia,Bangladesh,Dhaka,4,28.74360456416012
352,Asia,Bangladesh,Dhaka,5,28.93700276227158
353,Asia,Bangladesh,Dhaka,6,29.091981583231583
354,Asia,Bangladesh,Dhaka,7,28.793918780343507
355,Asia,Bangladesh,Dhaka,8,28.948131612513325
356,Asia,Bangladesh,Dhaka,9,28.54387380109602
357,Asia,Bangladesh,Dhaka,10,27.320476740503622
358,Asia,Bangladesh,Dhaka,11,23.78206164206164
359,Asia,Bangladesh,Dhaka,12,20.137901027685974
360,Asia,China,Beijing,1,-3.2472125723738627
361,Asia,China,Beijing,2,0.30081386046903286
362,Asia,China,Beijing,3,7.350843672456575
363,Asia,China,Beijing,4,14.934284900284897
364,Asia,China,Beijing,5,21.199252136752133
365,Asia,China,Beijing,6,24.99738271604938
366,Asia,China,Beijing,7,26.964587813620074
367,Asia,China,Beijing,8,25.65549880525687
368,Asia,China,Beijing,9,20.678009259259262
369,Asia,China,Beijing,10,13.223655913978495
370,Asia,China,Beijing,11,4.696888888888891
371,Asia,China,Beijing,12,-1.6292499090956318
372,Asia,China,Chengdu,1,6.73044665012407
373,Asia,China,Chengdu,2,9.387122051001363
374,Asia,China,Chengdu,3,13.690512820512819
375,Asia,China,Chengdu,4,18.649059829059826
376,Asia,China,Chengdu,5,22.422380985203567
377,Asia,China,Chengdu,6,24.86175617283951
378,Asia,China,Chengdu,7,26.595913978494625
379,Asia,China,Chengdu,8,26.23141577060932
380,Asia,China,Chengdu,9,22.655956790123458
381,Asia,China,Chengdu,10,18.24035842293907
382,Asia,China,Chengdu,11,13.286783950617286
383,Asia,China,Chengdu,12,8.057585060516335
384,Asia,China,Guangzhou,1,14.392415219189411
385,Asia,China,Guangzhou,2,16.074137088964676
386,Asia,China,Guangzhou,3,18.952448304383786
387,Asia,China,Guangzhou,4,23.03798575498576
388,Asia,China,Guangzhou,5,26.485383236834853
389,Asia,China,Guangzhou,6,28.473080246913582
390,Asia,China,Guangzhou,7,29.491254480286738
391,Asia,China,Guangzhou,8,29.351233572281966
392,Asia,China,Guangzhou,9,28.170870370370373
393,Asia,China,Guangzhou,10,25.3894623655914
394,Asia,China,Guangzhou,11,20.725040123456786
395,Asia,China,Guangzhou,12,15.82588086333177
396,Asia,China,Shanghai,1,5.217008547008548
397,Asia,China,Shanghai,2,6.909885478506167
398,Asia,China,Shanghai,3,10.988643507030604
399,Asia,China,Shanghai,4,16.32537321937322
400,Asia,China,Shanghai,5,21.438156419446745
401,Asia,China,Shanghai,6,24.784441358024687
402,Asia,China,Shanghai,7,29.27677419354838
403,Asia,China,Shanghai,8,28.906000597371563
404,Asia,China,Shanghai,9,25.008398148148157
405,Asia,China,Shanghai,10,19.887598566308245
406,Asia,China,Shanghai,11,13.898972222222222
407,Asia,China,Shanghai,12,7.488963170744378
408,Asia,China,Shenyang,1,-11.274086021505376
409,Asia,China,Shenyang,2,-5.903971201212579
410,Asia,China,Shenyang,3,1.9354755996691482
411,Asia,China,Shenyang,4,10.790766381766383
412,Asia,China,Shenyang,5,17.88058151824281
413,Asia,China,Shenyang,6,22.276861111111113
414,Asia,China,Shenyang,7,24.95126045400239
415,Asia,China,Shenyang,8,23.709056152927122
416,Asia,China,Shenyang,9,18.011848899624265
417,Asia,China,Shenyang,10,9.898010752688172
418,Asia,China,Shenyang,11,0.16587037037037036
419,Asia,China,Shenyang,12,-8.319948054646511
420,Asia,Hong Kong,Hong Kong,1,16.81755169561621
421,Asia,Hong Kong,Hong Kong,2,17.674114774114773
422,Asia,Hong Kong,Hong Kong,3,20.379616763165153
423,Asia,Hong Kong,Hong Kong,4,23.919182336182338
424,Asia,Hong Kong,Hong Kong,5,27.230632984100723
425,Asia,Hong Kong,Hong Kong,6,29.2022561728395
426,Asia,Hong Kong,Hong Kong,7,29.797634408602146
427,Asia,Hong Kong,Hong Kong,8,29.586060334528074
428,Asia,Hong Kong,Hong Kong,9,28.81797839506173
429,Asia,Hong Kong,Hong Kong,10,26.610465949820785
430,Asia,Hong Kong,Hong Kong,11,22.806095679012344
431,Asia,Hong Kong,Hong Kong,12,18.331572255986703
432,Asia,India,Bombay (Mumbai),1,24.655720981527434
