,Region,country,city,hebergement,nutrition,transport,divertissement,Month,AvgTemperature_C,Population,Density
1150,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,12,5.702442503959564,160025.0107,651.8502283
1151,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,12,5.702442503959564,1138151.475,485.9391204
1152,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,1,5.749875930521091,370497.0553,461.48373
1153,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,2,7.677929350343144,370497.0553,461.48373
1154,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,3,11.631748001102835,370497.0553,461.48373
1155,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,4,16.358418803418804,370497.0553,461.48373
1156,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,5,20.64582850840916,370497.0553,461.48373
1157,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,6,24.547225308641973,370497.0553,461.48373
1158,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,7,26.04551971326165,370497.0553,461.48373
1159,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,8,25.53622162485065,370497.0553,461.48373
1160,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,9,22.43641049382716,370497.0553,461.48373
1161,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,10,16.568028673835123,370497.0553,461.48373
1162,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,11,10.73548148148148,370497.0553,461.48373
1163,North America,United States,Charlotte,77.97108333333333,7.436296296296295,21.110000000000003,44.49285714285714,12,7.263796296296295,370497.0553,461.48373
1164,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,1,-0.2984913997458801,1573652.443,131.9281687
1165,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,2,1.052218269172292,1573652.443,131.9281687
1166,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,3,4.661657206460073,1573652.443,131.9281687
1167,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,4,9.551104742308445,1573652.443,131.9281687
1168,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,5,13.736266865352883,1573652.443,131.9281687
1169,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,6,17.371478315922765,1573652.443,131.9281687
1170,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,7,18.81435019248639,1573652.443,131.9281687
1171,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,8,18.45888092393468,1573652.443,131.9281687
1172,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,9,13.82214796349056,1573652.443,131.9281687
1173,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,10,9.49787601221293,1573652.443,131.9281687
1174,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,11,4.057709296190777,1573652.443,131.9281687
1175,Europe,Germany,Munich,58.59591666666667,7.281481481481482,17.81,60.498571428571424,12,0.7395421649757787,1573652.443,131.9281687
1176,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,1,19.25338020402537,787746.2125,121.8211112
1177,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,2,20.83193044503389,787746.2125,121.8211112
1178,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,3,23.649048800661703,787746.2125,121.8211112
1179,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,4,27.95514245014245,787746.2125,121.8211112
1180,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,5,32.05718798823638,787746.2125,121.8211112
1181,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,6,33.916469135802465,787746.2125,121.8211112
1182,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,7,35.80365591397849,787746.2125,121.8211112
1183,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,8,36.09788829151732,787746.2125,121.8211112
1184,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,9,33.49102469135802,787746.2125,121.8211112
1185,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,10,29.909964157706096,787746.2125,121.8211112
1186,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,11,25.31125308641976,787746.2125,121.8211112
1187,Asia,United Arab Emirates,Abu Dhabi,59.56058333333333,6.440740740740742,5.895,53.83,12,21.13996324866241,787746.2125,121.8211112
1188,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,1,22.30915122840308,119038.5051,41.65889437
1189,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,2,23.144303740014525,119038.5051,41.65889437
1190,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,3,25.72532201194004,119038.5051,41.65889437
1191,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,4,29.592290201493203,119038.5051,41.65889437
1192,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,5,33.78323421064961,119038.5051,41.65889437
1193,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,6,33.82111840320173,119038.5051,41.65889437
1194,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,7,31.613663397534363,119038.5051,41.65889437
1195,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,8,30.30145461617236,119038.5051,41.65889437
1196,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,9,30.21077996440741,119038.5051,41.65889437
1197,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,10,30.33702781291728,119038.5051,41.65889437
1198,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,11,26.96230729328768,119038.5051,41.65889437
1199,Asia,Oman,Muscat,25.706916666666665,5.899629629629629,12.14,50.61285714285714,12,23.945825908021515,119038.5051,41.65889437
1200,North America,United States,Milwaukee,49.77666666666666,6.719259259259258,13.56,56.30857142857143,1,-4.52848635235732,1101829.808,494.6656456
1201,North America,United States,Milwaukee,49.77666666666666,6.719259259259258,13.56,56.30857142857143,2,-2.857891878236705,1101829.808,494.6656456
1202,North America,United States,Milwaukee,49.77666666666666,6.719259259259258,13.56,56.30857142857143,3,1.9994982078853047,1101829.808,494.6656456
1203,North America,United States,Milwaukee,49.77666666666666,6.719259259259258,13.56,56.30857142857143,4,7.417775878442544,1101829.808,494.6656456
